"Existing component";"Composant existant"
"FAQ";"FAQ"
"Facebook account";"le compte Facebook"
"Facebook list";"Facebook"
"Failure page";"Page d'échec"
"Field code";"Code de champ"
"File not uploaded";"Fichier non téléchargé"
"Form results";"Résultats formulaires"
"Free search (network name)";"Recherche libre (nom de réseau)"
"Full screen";"Plein écran"
"Generate";"Générer"
"Geolocation";"Géolocalisation"
"Géolocalisation";"Géolocalisation"
"Height";"hauteur"
"Hidden Field";"Champ caché"
"Home";"Accueil"
"Home page";"Page d'accueil"
"Id";"Id"
"Image from URL";"Image à partir d'une URL"
"Import failed";"Echec de l'import"
"Info";"Information"
"Informations";"Informations"
"Insert link to mobile site";"Insérer un lien vers le site mobile"
"Label";"Libellé"
"Legal mentions";"Mentions légales"
"Lines number";"Nombre de lignes"
"Link";"Lien"
"Load message from archive";"Charge le message à partir de l'archive"
"Login";"Identifiant"
"Look";"Style"
"Look & feel";"Look & feel"
"Manage list";"Editer la liste"
"Marketeo";"Marketeo"
"Message successfuly deleted";"message correctement supprimé"
"Mobile:";"Portable:"
"Mobisiteo";"Site mobile"
"Mode";"Mode"
"My Campaigns";"Mes campagnes"
"My Contacts";"Mes contacts"
"My budget";"Mon budget"
"My communication";"Mes communications"
"My content";"Mes images"
"Name";"Nom"
"Network";"Réseau"
"Network frontoffice style";"Style du frontoffice"
"Networks";"Réseaux"
"New campaign";"Nouvelle campagne"
"New component";"Nouveau composant"
"New field";"Nouveau champ"
"New list";"Nouvelle liste"
"New user";"Nouvel utilisateur"
"Next";"Suivant"
"No Image";"Pas d'image"
"No contact found";"Pas de contact trouvé"
"No image";"Pas d'image"
"No setup yet for this type of component";"Aucune configuration pour ce type de composant"
"No test message was sent, please check your list";"Aucun message de test n'a été envoyé, merci de vérifier votre liste"
"Not implemented for this type of message";"Pas implémenté pour ce type de message"
"OK";"OK"
"OptIn contacts";"Activer les contacts"
"Optout contacts";"Désactiver les contacts"
"Or";"Ou"
"Page";"Page"
"Page Not Found";"Page non trouvée"
"Page creation";"Création de page"
"Page informations";"Page d'information"
"Page label";"Libélé de la page"
"Page name";"Nom de la page"
"Page title";"Titre de la page"
"Parameters";"Paramètres"
"Password";"Mot de passe"
"Password:";"Mot de passe:"
"Phone Number";"Numéro de téléphone"
"Please select a correct campaign identifiant";"Merci de sélectionner un identifiant de campagne valide"
"Post";"Publication"
"Post code";"Code postal"
"Preview";"Aperçu"
"Previous";"Précédent"
"QR codes";"QR codes"
"Radio Button";"Bouton radio"
"Remove contacts without list";"Suppression des contacts sans liste"
"Removing all contacts from list";"Retrait de tous les contacts de la liste"
"Removing all contacts search";"Retrait de tous les contacts de la recherche"
"Removing contacts from list";"Retrait des contacts de la liste"
"Removing the contact from list";"Retrait du contact de la liste"
"Rename.list";"Renommer la liste"
"Reply to";"Répondre à"
"Report an error";"Signaler une erreur"
"SITE-FIELDS";"SITE-FIELDS"
"SMS";"SMS"
"Save";"Sauvegarder"
"Security error";"Erreur de sécurité"
"Select";"Sélectionner"
"Select Box";"Liste déroulante"
"Select a css file you would like to import";"Sélectionnez un fichier .css à importer"
"Select a page";"Choisissez une page"
"Select a structure file you would like to import";"Sélectionnez un fichier de structures à importer"
"Select all contact";"Sélectionner tous les contacts"
"Select an existing component to edit it or click on the + icon into the zone where you want to add a new one";"Sélectionnez un composant existant pour le modifier ou cliquez sur l'icône + dans la zone où vous souhaitez ajouter un nouveau"
"Select the image file to use";"Sélectionnez le fichier image à utiliser"
"Sender";"Expéditeur"
"Set the code to generate";"code barre à utiliser"
"Set the image url to use";"Précisez l'adresse de l'image à utiliser"
"Settings";"Paramètres"
"Site online";"Site en ligne"
"Sites list";"Sites Mobiles"
"Sms list";"SMS"
"Start date";"Date de démarrage"
"Street";"Rue"
"Structure";"Structure"
"Structures";"Structures"
"Style configuration for a network";"Personnalisation du style pour le réseaux"
"Subject";"Objet"
"Submit";"Valider"
"Succes page";"Page de succès"
"Target link url";"Url cible du lien"
"Tel:";"Tél:"
"Text";"Texte"
"Text Area";"Zone de texte"
"Text Field";"Champ texte"
"Thank you to provide a valid url";"Merci de fournir une adresse valide"
"The message has been sent.";"Le message a été envoyé"
"The site you are trying to view is no longer accessible";"Le site que vous voulez visualiser n'est plus accessible"
"The step is deleted";"L'étape est supprimée"
"The test contact is not valid.";"Le contact de test n'est pas valide"
"This site may not be seen; please retry later";"Ce site n'est pas accessible; veuillez réessayer plus tard"
"To";"De"
"Tweet";"Tweet"
"Twitter account";"le compte Twitter"
"Twitter list";"Twitter"
"Type";"Type"
"Up";"Haut"
"Update";"Mettre à jour"
"Upload a file";"Importer un fichier"
"Upload configuration as INI file";"Télécharger la configuration en fichier INI"
"Upload done";"Téléchargement fait"
"Upload in progress, please be patient...";"Veuillez patienter, chargement en progres..."
"Upload in progress; please be patient...";"Veuillez patienter; chargement en cours..."
"Uploading";"Import"
"Url";"Url"
"Use existing component";"Utiliser un composant existant"
"Username";"Identifiant"
"Username:";"Nom"
"Users";"Utilisateurs"
"Validate mobile site datas";"Valider les données du site mobile"
"Value is required and can't be empty";"La valeur est requise et ne peut pas être vide"
"Values (comma separated)";"Valeurs (séparées par des virgules)"
"Version";"Version"
"View";"Afficher"
"Visible";"Visible"
"Warning";"Attention"
"Width";"Largeur"
"You can reach %1$s on %2$s or by e-mail at: <a href='mailto:%3$s'>%3$s</a>";"Vous pouvez contacter %1$s au %2$s ou par e-mail à l'adresse:<a href='mailto:%3$s'>%3$s</a>"
"You don't have the necessary credentials to access this resource";"Vous n'avez pas l'autorisation d'accéder à cette ressource"
"You don't have the right to access to the page : ";"Vous n'avez pas l'autorisation d'accéder à la page :"
"You must select an attribute before";"Vous devez sélectionner un attribut"
"Your mobile site is available for test:";"Votre site mobile est disponible pour test :"
"Zoom";"Zoom"
"access url";"URL d'acces"
"accounting code";"code comptable"
"actions";"actions"
"actives only";"actifs seulement"
"add";"ajouter"
"add a contact";"ajouter un contact"
"add a new campaign by clicking on";"ajouter une nouvelle campagne en cliquant"
"add a new message by clicking on";"ajouter un nouveau message en cliquant"
"add a new rule";"ajoute une nouvelle règle"
"add a new site by clicking on";"ajouter un nouveau site en cliquant"
"add channel";"ajouter un canal"
"add comment";"ajouter un commentaire"
"add contract";"ajouter un contrat"
"add network";"ajouter un réseau"
"add new facebook";"Nouveau message Facebook"
"add new look";"ajouter un nouveau look"
"add new site";"ajoute un nouveau site"
"add new structure";"ajouter une nouvelle structure"
"add new twitter";"nouveau message Twitter"
"add step";"ajouter une étape"
"add to selection";"ajouter à la sélection"
"add user";"ajouter un utilisateur"
"add your contacts";"ajoutez vos contacts"
"added-page-label";"added-page-label"
"address";"adresse"
"address1";"Adresse 1"
"address2";"Adresse 2"
"advice for affiliates";"conseil pour les affiliés"
"affiliate network";"réseau d'affiliation"
"all contracts";"Tous les contrats"
"all medias";"tous les canaux"
"all my campaigns";"toutes mes campagnes"
"all my contact lists";"toutes mes listes de contacts"
"all my contacts";"tous mes contacts"
"all statuses";"tous les statuts"
"all users";"tous les utilisateurs"
"apply";"Appliquer"
"approximate cost of message";"coût indicatif du message"
"are you sure to want to delete this contract?";"Etes-vous sûr de vouloir supprimer ce contrat ?"
"are you sure to want to delete this element?";"Etes-vous sûr de vouloir supprimer cet élément ?"
"are you sure to want to delete this message";"etes-vous sur de vouloir supprimer le message"
"are you sure to want to delete this user?";"etes-vous sûr de vouloir supprimer cet utilisateur ?"
"are you sure you want to cancel this campaign ?";"etes-vous sûr de vouloir annuler cette campagne ?"
"associate your Facebook account to Marketeo";"associer votre compte Facebook à Marketeo"
"associate your Twitter account to Marketeo";"associer votre compte Twitter à Marketeo"
"back";"retour"
"back to campaign";"retour à la campagne"
"back to campaign list";"retour à la liste de campagnes"
"begin to import your contacts";"commencer l'import des contacts"
"bienvenue; ";"bienvenue; "
"birthDate";"Date de naissance"
"bounce rate";"taux de rebond"
"broadcast";"diffusion"
"budget";"budget"
"calendar.hour";"heure"
"calendar.minute";"minute"
"calendar.time";"horaire"
"campaign";"campagne"
"campaign deleted";"campagne supprimée"
"campaign details";"détail de la campagne"
"campaign not found";"campagne non trouvée"
"campaign was successfully duplicated";"Campagne dupliquée avec succès"
"cancel";"annuler"
"cannot add a message wihtout a valid media type.";"impossible d'ajouter un message sans un media valide."
"cannot add a message wihtout a valid step identifier.";"impossible d'ajouter un message sans un identifiant d'étape valide."
"cannot add message";"impossible d'ajouter un message"
"cannot associate your selection into a list";"impossible d'ajouter votre sélection à une liste"
"cannot confirm campaign";"impossible de confirmer la campagne"
"cannot confirm campaign with invalid identifier";"impossible de confirmer une campagne avec un identifiant invalide"
"cannot confirm campaign, invalid contact list for PUSH channel";"la campagne ne peut pas être confirmée car aucune liste n'est utilise pour les canaux PUSH"
"cannot confirm campaign, invalid contact list";"la campagne ne peut pas être confirmée car aucune liste n'est utilisée"
"cannot confirm campaign, invalid execution date";"la campagne ne peut pas être confirmée car sa date d'exécution est invalide"
"cannot confirm campaign, invalid execution dates of steps";"la campagne ne peut pas être confirmée car les dates d'envoi des canaux ne sont pas valides"
"cannot confirm campaign, invalid number of steps";"la campagne ne peut pas être confirmée car elle doit avoir au moins une étape"
"cannot confirm campaign, status is not editing";"la campagne ne peut pas être confirmée car elle n'est pas en mode édition"
"cannot confirm campaign; invalid contact list for PUSH channel";"la campagne ne peut pas être confirmée car aucune liste n'est utilisée pour les canaux PUSH"
"cannot confirm campaign; invalid execution dates of steps";"la campagne ne peut pas être confirmée car les dates d'envoi des canaux ne sont pas valides"
"cannot confirm campaign, no countact found";"la campagne ne peut pas être confirmée car elle n'a aucun contact"
"cannot confirm campaign; invalid number of steps";"la campagne ne peut pas être confirmée car elle doit avoir au moins une étape"
"cannot confirm campaign; status is not editing";"la campagne ne peut pas être confirmée car elle n'est pas en mode édition"
"cannot create a new contact";"impossible de créer un nouveau contact"
"cannot create a new list";"impossible de créer une nouvelle liste"
"cannot create a new list without a valid selection";"impossible de créer une nouvelle liste sans un identifiant valide"
"cannot create campaign";"impossible de créer une campagne"
"cannot delete campaign";"impossible de supprimer la campagne"
"cannot delete campaign with invalid identifier";"impossible de supprimer une campagne sans un identifiant valide"
"cannot cancel campaign, no campaign found";"Impossible d'annuler la campagne, pas de campagne trouvée"
"cannot cancel campaign with invalid identifier";"impossible d'annuler la campagne, identifiant invalide"
"Cannot cancel campaign with status : %s.";"Impossible d'annuler une campagne dont le statut est : %s"
"cannot delete orphan contact";"impossible de supprimer les contacts orphelins"
"cannot delete your selection";"impossible de supprimer votre sélection"
"cannot display campaign";"impossible d'afficher la campagne"
"cannot display campaign without a valid identifier";"impossible d'afficher la campagne sans un identifiant valide"
"cannot display contact with invalid identifiers";"impossible d'afficher un contact sans un identifiant valide"
"cannot display details";"impossible d'affiche le detail"
"cannot display details with invalid identifiers";"impossible d'afficher le detail à partir d'un identifiant invalide"
"cannot duplicate campaign with invalid identifier";"impossible de dupliquer une campagne à partir d'un identifiant invalide"
"cannot read data in this file";"données illisibles dans ce fichier"
"cannot save campaign";"impossible de sauver la campagne"
"cannot update the list name";"impossible de mettre à jour le nom de la liste"
"channel";"canal"
"characters number";"nombre de caractères"
"choose on which facebook page you wish to post.";"choisissez la page Facebook sur laquelle vous souhaitez poster."
"city";"Ville"
"civility";"Civilité"
"clear";"effacer"
"clicked ratio";"taux de clics"
"clickers";"cliqueurs"
"client code";"code client"
"closed";"interrompue"
"code";"code"
"color #1";"Couleur 1"
"color #2";"Couleur 2"
"comment";"commentaire"
"comments";"commentaires"
"communicate with you contacts via email in order to present your visual an personalised offer";"communiquez par email avec vos contacts pour présenter votre offre de façon visuelle et personnalisée"
"company";"Société"
"company code";"code contrat"
"complete view";"vue complète"
"confirm";"confirmer"
"confirm campaign";"confirmer la campagne"
"confirm delete list";"etes-vous sûr de vouloir supprimer la liste ?"
"confirm delete step";"etes-vous sûr de vouloir supprimer cette étape ?"
"confirm confirm campaign";"etes-vous sûr de vouloir confirmer la campagne ?"
"cannot confirm campaign, at least one invalid step";"la campagne ne peut pas être confirmée car elle a au moins une étape invalide"
"confirmed";"confimée"
"contact";"contact"
"contact coordinates";"coordonnées du contact"
"contact imported";"contact importé";"contacts importés"
"contact info";"information des contact"
"contact list name";"Nom de la liste de diffusion"
"contact name";"nom du contact"
"contact(s)";"contact(s)"
"contact.filter";"filtres"
"contact.media.status-1";"désactivation manuelle"
"contact.media.status-2";"désactivation automatique"
"contact.media.status-3";"information non valide"
"contact.media.status0";"information non saisie"
"contact.media.status1";"information valide"
"contact.warning";"warning"
"contacts";"contacts"
"contacts not found";"aucun contact trouvé"
"contacts on this page are selected";"contacts de cette page sont sélectionnés"
"contacts will be merged with the following criterias :";"les contacts seront dédoublonnés sur les critères d'unicité suivants :"
"content";"Contenu"
"content title";"titre du contenu"
"continue";"continuer"
"contract";"contrat"
"contract code";"code contrat"
"contract deleted";"entreprise supprimée"
"contract details";"informations contrat"
"contract manager";"Contrat gestionnaire"
"contracts deleted";"entreprises supprimées"
"country";"Pays"
"create a campaign";"créer une nouvelle campagne"
"create a list";"créer une liste"
"create a new campaign";"créer une nouvelle campagne"
"create a new contact list";"créer une nouvelle liste"
"create a new contact list and create campaign";"créer une liste et lancer une campagne"
"create bar code";"créer un code barre"
"create list";"création de liste"
"create new list";"créer une nouvelle liste"
"create new list with selection";"créer une nouvelle liste à partir de votre sélection"
"create new page";"créer une nouvelle page"
"create your content";"créez votre contenu"
"creation date";"date de création"
"creator";"createur"
"css file";"fichier css"
"customer code";"code client"
"database.action";"actions"
"date";"date"
"delete";"supprimer"
"delete Facebook / Marketeo association";"supprimer l'association Facebook / Marketeo"
"delete Twitter / Marketeo association";"supprimer l'association Twitter / Marketeo"
"delete all selected lists";"supprimer toutes les listes sélectionnées"
"delete contact";"supprimer le contact"
"delete current selection";"supprimer la sélection courante"
"delete list";"supprimer la liste"
"delete lists";"Suppression de listes"
"delete step";"supprimer l'étape"
"Delete step";"Supprimer l'étape"
"delete this step";"supprimer l'étape"
"delivered";"delivré"
"delivered messages";"messages délivrés"
"description";"description"
"designation";"désignation"
"designation:";"désignation :"
"details for list";"détails de la liste"
"details of the campaign";"détails de la campagne"
"displayed";"Affiché"
"do you want deleted all lists selected?";"Etes-vous sûr de vouloir les listes de contacts sélectionnées ?"
"download example file";"télécharger le fichier d'exemple"
"download the final QR code";"téléchargez le QR code definitif"
"duplicate";"Dupliquer"
"easily communicate via SMS with your customers whenever you want";"echangez facilement et simplement par SMS avec vos clients dès que vous le souhaitez"
"ecoSMS key";"clé ecoSMS"
"edit";"edition"
"edit contact";"modifier le contact"
"edit contract";"edition d'un contrat"
"edit network";"edition d'un réseau"
"edit or test";"editer ou tester"
"edit the SMS";"editer le SMS"
"edit user";" modification d'un utilisateur"
"edit your media channels bellow";"éditez vos canaux médias ci-dessous"
"editing";"en création"
"editor";"Editeur"
"email";"Email"
"en";"en"
"end date";"date de fin"
"entity";"entité"
"error: your list has not been created";"votre liste n'a pas été créée"
"export";"exporter"
"export contact";"exporter les contacts"
"facebook";"facebook"
"facebook pages";"pages Facebook"
"fax";"Fax"
"field01";"Champ 1"
"field02";"Champ 2"
"field03";"Champ 3"
"field04";"Champ 4"
"field05";"Champ 5"
"field06";"Champ 6"
"field07";"Champ 7"
"field08";"Champ 8"
"field09";"Champ 9"
"field10";"Champ 10"
"field11";"Champ 11"
"field12";"Champ 12"
"field13";"Champ 13"
"field14";"Champ 14"
"field15";"Champ 15"
"file";"fichier"
"file name";"Nom du fichier"
"file upload failed; please retry";"L'envoi du fichier a échoué; merci d'essayer à nouveau"
"file's datas will be imported. Check content.";"les données du fichier vont être importées, veuillez vérifiez le contenu."
"filename";"nom du fichier"
"filter";"filtrer"
"Filter";"Filtrer"
"filter by";" filtrer par"
"filter.contains";"contient"
"filter.desc.filterAnd";"et"
"filter.desc.filterOr";"ou"
"filter.display_all";"tous"
"filter.empty";"est vide"
"filter.equals";"egal à"
"filter.not_equals";"différent de"
"filter.notempty";"est défini"
"filter.optout";"est désactivé"
"filter.reset";"Réinitialiser"
"filter.search";"rechercher"
"filters";"filtres"
"firstName";"Prénom"
"firstname";"prénom"
"followers";"followers"
"form response";"réponses aux formulaires"
"forms";"formulaires"
"found contact(s)";"contact(s) trouvé(s)"
"free search (contract name; city; ...)";"recherche libre (nom du contrat; ville; ...)"
"free search(name; firstname; login; email)";"recherche libre(nom; prénom; login; email)"
"from...";"depuis..."
"generate";"générer"
"generate QR code";"générer un QR code"
"geoloc.circlr.rayon";"rayon du cercle"
"geoloc.clear.map";"supprimer la / les sélection(s)"
"geoloc.create.polygon";"créer un polygone"
"geoloc.remove.polygon";"supprimer le polygone"
"geoloc.select.circle";"sélection Circulaire"
"geolocation";"géolocalisation"
"global component";"composant global"
"header line";"ligne d'entête"
"hidden";"caché"
"history of email openings";"historique des ouvertures d'emails"
"history of mobile site visits";"historique des accès au site mobile"
"home page";"Home"
"id";"identifiant"
"image preview";"Previsualisation"
"immediate";"immédiate"
"import the first line of file";"importer la première ligne du fichier"
"importation in progress";"import en cours"
"importation results";"résumé de l'import"
"importing in progress, please be patient...";"import en cours, merci de patienter"
"inactives";"inactifs"
"indicator";"indicateur"
"industry templates";"templates réseau"
"information";"information"
"invalid company, cannot display settings";"societé invalide, les paramètres ne peuvent pas être affichés"
"invalid company; cannot display settings";"societé invalide; les paramètres ne peuvent pas être affichés"
"invalid contact";"contact invalide";"contacts invalides"
"invalid password";"mot de passe incorrect"
"is associated with your Marketeo account";"a éte associé à votre compte Marketeo"
"item";"résultat"
"items";"résultats"
"keywords";"mots-clés"
"ko";"non délivrés"
"label";"libellé"
"large (L)";"grand (L)"
"lastName";"Nom"
"lastname";"nom"
"legal.mentions.text";"L'ensemble de ce site relève de la législation française et internationale sur le droit d'auteur et la propriété intellectuelle.\nTous les droits de reproduction sont réservés, y compris pour les documents téléchargeables et les représentations iconographiques et photographiques.\nLa reproduction de tout ou partie de ce site sur quelque support que ce soit est formellement interdite sauf autorisation écrite émanant de la société Digitaleo.\nToutes les marques présentes sur se site sont enregistrées auprès des organismes spécialisés, pour le compte de Digitaleo."
"likes";"j'aime"
"line found";"ligne trouvée";"lignes trouvées"
"list";"liste"
"list deleted";"liste supprimée"
"list of Facebook messages";"liste de messages Facebook"
"list of Mobile Site messages";"liste de site mobile"
"list of Twitter messages";"liste de messages Twitter"
"list of contacts";"liste de contacts"
"list of contracts";"liste des contrats"
"list of looks";"liste de looks"
"list of networks";"liste de réseaux"
"list of selected contact(s)";"liste de contact(s) selectionné(s)"
"list of structures";"liste de structures"
"list of users";"liste des utilisateurs"
"lists name";"noms de listes"
"lists of contacts";"listes de contacts"
"lists of networks";"listes de réseaux"
"live from Blog";"en direct du Blog"
"locale";"région"
"login unavailable";"Identifiant invalide"
"logout";"Déconnexion"
"look";"style"
"mail.Digitaleo";"contact@digitaleo.com"
"manage";"gérer"
"manually create new list";"créer une liste manuellement"
"measure customer satisfaction immediately following a service and improve your reputation";"mesurez la satisfaction de vos clients immédiatement après le service et améliorez votre réputation"
"media library";"bibliothèque de contenus"
"medium (M)";"moyen (M)"
"merge lists";"fusioner des listes"
"message performance";"performances du message"
"message preview";"prévisualisation du message"
"message status";"statut du message"
"message(s) has been sent";"message(s) de test envoyé(s)"
"messages";"messages"
"messengeo key";"clé Messengeo"
"mobile";"Mobile"
"mobile site";"site mobile"
"mobile website";"site mobile"
"mode";"mode"
"modify or test your channel";"modifiez ou testez votre canal"
"more";"plus"
"more content";"plus de contenu"
"more details";"plus de détails"
"most visited pages";"pages les plus vues"
"multicanal";"multicanal"
"my campaigns";"mes campagnes"
"my contact";"mon contact"
"my contact database";"Ma base de contacts"
"my contacts";"mes contacts"
"my contacts distribution per channel";"répartition de mes contacts par canal"
"my contents";"mes images"
"my dashboard";"mon tableau de bord"
"my lists";"mes listes"
"my network campaigns";"mes campagnes réseaux"
"my performance ratio";"mes ratios performance"
"my previous campaigns";"mes dernières campagnes"
"my previous contact lists";"mes dernières listes de contacts"
"my resources";"mes ressources"
"my templates";"mes templates"
"name";"nom"
"name list (optional)";"Nom de la liste (optionnel)"
"name your campaign";"nommez votre campagne"
"need help?";"besoin d'aide ?"
"network";"réseau"
"network deleted";"réseau supprimé"
"network details";"informations réseau"
"network not deleted";"le réseau n'a pas été supprimé"
"new campaign";"nouvelle campagne"
"new contract";"création d'un contrat"
"new label";"nouveau libellé"
"new list";"nouvelle liste"
"new list name";"nom de la nouvelle liste"
"new network";"création d'un réseau"
"new page";"nouvelle page"
"new user";"Création d'un utilisateur"
"new-home-page-label";"new-home-page-label"
"news";"informations"
"next dispatch date";"date prochain envoi"
"no";"non"
"no available information";"pas d'information disponible"
"no campaign";"Aucune campagne"
"no component yet";"pas encore de composant"
"no contact";"aucun contact"
"no contacts list";"pas de liste de contact"
"no data";"pas de données affichables"
"no facebook yet";"aucun message Facebook"
"no image";"pas d'image"
"no page yet";"Pas encore de page"
"no site yet";"pas encore de site"
"no twitter yet";"aucun message Twitter"
"not available functionality for this list";"cette fonctionnalité n'est pas disponible pour cette liste"
"notify on submission";"notifier lors d'une réponse"
"now";"maintenant"
"number";"nombre"
"number of affiliates";"nombre d'affiliés"
"number of channels";"nombre de canaux"
"number of contacts";"nombre de contacts"
"number of different recipients";"nombre de destinataires distincts"
"number of selected contacts";"nombre de contacts sélectionnés"
"number of sent messages";"nombre de messages envoyés"
"offline date";"date de mise hors ligne"
"ok";"délivrés"
"on";"envoyés"
"on the page";"sur la page"
"online date";"date de mise en ligne"
"opened ratio";"taux de d'ouverture"
"openers";"ouvreurs"
"opening ratio";"taux d'ouverture"
"openings";"ouvertures"
"optin contact";"activer le contact"
"options";"options"
"optout";"désabonnements"
"optout contact";"désactiver le contact"
"or edit the site directly in the editor";"ou édit le site dans l'éditeur"
"origin of visits";"provenance des visites"
"orphan deletion done";"suppression des orphelins effectuée"
"other";"autres"
"owner";"titulaire"
"page";"page"
"pages per visit";"pages vues par visite"
"parameter";"paramètre"
"parameters";"paramètres"
"partial view";"vue partielle"
"password";"mot de passe"
"password:";"mot de passe:"
"percentage";"pourcentage"
"performance ratio";"taux de délivrabilité"
"permanent errors (hard bounces)";"erreurs permanentes (hard bounces)"
"phone";"Téléphone Fixe"
"phone.Digitaleo";"02.56.036.700"
"please enter at least two chars";"veuillez saisir 2 caractères minimum"
"please type one email adress per line";"merci de saisir une adresse email par ligne"
"please type one mobile phone number per line";"merci de saisir un numéro de mobile par ligne"
"post code";"code postal"
"postCode";"code postal"
"postal adress";"adresse postale"
